ticker,date,last,volume
2002 JT,2013-01-04,799.7388,837320
2002 JT,2013-01-07,791.7268,793760
2002 JT,2013-01-08,790.2701,1226335
2002 JT,2013-01-09,789.5417,1195480
2002 JT,2013-01-10,785.8999,1387870
2002 JT,2013-01-11,791.7268,1773860
2002 JT,2013-01-15,799.0104,973445
2002 JT,2013-01-16,800.4671,945615
2002 JT,2013-01-17,797.5537,1281390
2002 JT,2013-01-18,811.3925,984335
2002 JT,2013-01-21,800.4671,705430
2002 JT,2013-01-22,794.6402,1275340
2002 JT,2013-01-23,785.8999,1183380
2002 JT,2013-01-24,787.3567,1168860
2002 JT,2013-01-25,815.7627,1369115
2002 JT,2013-01-28,808.4791,928675
2002 JT,2013-01-29,808.4791,1024265
2002 JT,2013-01-30,812.8492,1174910
2002 JT,2013-01-31,810.6642,697565
2002 JT,2013-02-01,802.6522,700590
2002 JT,2013-02-04,798.282,1113200
2002 JT,2013-02-05,793.9119,978285
2002 JT,2013-02-06,823.7746,1274130
2002 JT,2013-02-07,796.8253,1380005
2002 JT,2013-02-08,782.2581,2064865
2002 JT,2013-02-12,793.1835,1104125
2002 JT,2013-02-13,782.9865,894190
2002 JT,2013-02-14,795.3686,1159180
2002 JT,2013-02-15,780.0731,954690
2002 JT,2013-02-18,801.9238,868175
2002 JT,2013-02-19,807.0224,978890
2002 JT,2013-02-20,828.1448,1684320
2002 JT,2013-02-21,820.1328,906895
2002 JT,2013-02-22,835.4284,1208185
2002 JT,2013-02-25,879.13,1829520
2002 JT,2013-02-26,868.9329,1376375
2002 JT,2013-02-27,862.3777,917180
2002 JT,2013-02-28,885.6852,1263240
2002 JT,2013-03-01,896.6106,756250
2002 JT,2013-03-04,900.2524,1077505
2002 JT,2013-03-05,904.6225,729025
2002 JT,2013-03-06,932.3002,952270
2002 JT,2013-03-07,964.348,2447830
2002 JT,2013-03-08,952.6943,5880600
2002 JT,2013-03-11,946.139,1771440
2002 JT,2013-03-12,933.7569,1514315
2002 JT,2013-03-13,931.5718,1106545
2002 JT,2013-03-14,911.1778,1521575
2002 JT,2013-03-15,898.7957,2835030
2002 JT,2013-03-18,890.0553,1157970
2002 JT,2013-03-19,906.0793,1153130
2002 JT,2013-03-21,914.0912,1044835
2002 JT,2013-03-22,906.0793,1492535
2002 JT,2013-03-25,922.1032,1133165
2002 JT,2013-03-26,920.6464,836110
2002 JT,2013-03-27,917.7335,1061170
2002 JT,2013-03-28,910.3916,1533675
2002 JT,2013-03-29,939.0249,1010955
2002 JT,2013-04-01,906.7207,1401180
2002 JT,2013-04-02,894.2395,1291070
2002 JT,2013-04-03,900.113,845185
2002 JT,2013-04-04,916.9993,1202135
2002 JT,2013-04-05,899.3788,1771440
2002 JT,2013-04-08,908.9232,1283810
2002 JT,2013-04-09,916.9993,1030315
2002 JT,2013-04-10,924.3411,1206370
2002 JT,2013-04-11,925.0753,1612325
2002 JT,2013-04-12,910.3916,2119315
2002 JT,2013-04-15,907.4548,994620
2002 JT,2013-04-16,911.1258,1092025
2002 JT,2013-04-17,905.2523,1019425
2002 JT,2013-04-18,892.7711,1676455
2002 JT,2013-04-19,890.5686,796785
2002 JT,2013-04-22,907.4548,869990
2002 JT,2013-04-23,903.7839,806465
2002 JT,2013-04-24,928.0121,950455
2002 JT,2013-04-25,937.5565,936540
2002 JT,2013-04-26,922.1386,703615
2002 JT,2013-04-30,923.607,1020635
2002 JT,2013-05-01,920.6702,669735
2002 JT,2013-05-02,916.2651,592900
2002 JT,2013-05-07,933.1514,1239645
2002 JT,2013-05-08,938.2907,942590
2002 JT,2013-05-09,925.0753,368445
2002 JT,2013-05-10,941.2274,1192455
2002 JT,2013-05-13,932.4172,556600
2002 JT,2013-05-14,957.3795,1144055
2002 JT,2013-05-15,988.9496,2334695
2002 JT,2013-05-16,977.2026,1231780
2002 JT,2013-05-17,976.4684,955900
2002 JT,2013-05-20,978.671,882090
2002 JT,2013-05-21,980.8735,1151920
2002 JT,2013-05-22,979.4052,1003695
2002 JT,2013-05-23,914.7967,1920270
2002 JT,2013-05-24,914.0625,2084830
2002 JT,2013-05-27,893.5053,1188220
2002 JT,2013-05-28,883.2267,1310430
2002 JT,2013-05-29,888.366,917785
