ticker,date,last,volume
8332 JT,2013-01-04,398.0037,10749000
8332 JT,2013-01-07,392.3448,6701000
8332 JT,2013-01-08,385.7429,5906000
8332 JT,2013-01-09,398.9468,7197000
8332 JT,2013-01-10,400.8331,8782000
8332 JT,2013-01-11,402.7193,7497000
8332 JT,2013-01-15,411.2076,6039000
8332 JT,2013-01-16,409.3213,7444000
8332 JT,2013-01-17,411.2076,7371000
8332 JT,2013-01-18,414.9801,6467000
8332 JT,2013-01-21,409.3213,5392000
8332 JT,2013-01-22,409.3213,7226000
8332 JT,2013-01-23,411.2076,6112000
8332 JT,2013-01-24,404.6056,6730000
8332 JT,2013-01-25,414.9801,5975000
8332 JT,2013-01-28,411.2076,4724000
8332 JT,2013-01-29,414.037,5386000
8332 JT,2013-01-30,414.9801,4549000
8332 JT,2013-01-31,412.1507,7391000
8332 JT,2013-02-01,406.4919,7861000
8332 JT,2013-02-04,408.3782,4262000
8332 JT,2013-02-05,407.435,6355000
8332 JT,2013-02-06,418.7527,8481000
8332 JT,2013-02-07,422.5252,6960000
8332 JT,2013-02-08,416.8664,6593000
8332 JT,2013-02-12,427.2409,6685000
8332 JT,2013-02-13,426.2978,4088000
8332 JT,2013-02-14,421.5821,6759000
8332 JT,2013-02-15,416.8664,6796000
8332 JT,2013-02-18,437.6154,9210000
8332 JT,2013-02-19,437.6154,5287000
8332 JT,2013-02-20,453.6487,11595000
8332 JT,2013-02-21,450.8193,8329000
8332 JT,2013-02-22,446.1036,8164000
8332 JT,2013-02-25,448.933,7274000
8332 JT,2013-02-26,445.1605,7213000
8332 JT,2013-02-27,437.6154,5454000
8332 JT,2013-02-28,449.8762,6067000
8332 JT,2013-03-01,447.0468,4829000
8332 JT,2013-03-04,457.4213,7304000
8332 JT,2013-03-05,457.4213,7605000
8332 JT,2013-03-06,459.3075,6685000
8332 JT,2013-03-07,457.4213,5784000
8332 JT,2013-03-08,463.0801,10954000
8332 JT,2013-03-11,480.9997,10526000
8332 JT,2013-03-12,477.2271,12123000
8332 JT,2013-03-13,464.9664,7987000
8332 JT,2013-03-14,474.3977,5401000
8332 JT,2013-03-15,486.6585,9182000
8332 JT,2013-03-18,489.4879,10655000
8332 JT,2013-03-19,507.4075,7553000
8332 JT,2013-03-21,523.4408,12083000
8332 JT,2013-03-22,510.2369,6177000
8332 JT,2013-03-25,508.3506,5037000
8332 JT,2013-03-26,509.2938,4468000
8332 JT,2013-03-27,512.146,4243000
