ticker,date,last,volume
3105 JT,2013-01-04,592.8913,973000
3105 JT,2013-01-07,584.0421,1127000
3105 JT,2013-01-08,571.9752,1369000
3105 JT,2013-01-09,579.2153,967000
3105 JT,2013-01-10,595.3047,977000
3105 JT,2013-01-11,599.327,1744000
3105 JT,2013-01-15,601.7404,1187000
3105 JT,2013-01-16,583.2377,1190000
3105 JT,2013-01-17,570.3662,1538000
3105 JT,2013-01-18,605.7627,1471000
3105 JT,2013-01-21,590.4779,1276000
3105 JT,2013-01-22,575.9975,1419000
3105 JT,2013-01-23,543.0144,1946000
3105 JT,2013-01-24,551.8635,1292000
3105 JT,2013-01-25,560.7126,1071000
3105 JT,2013-01-28,552.668,751000
3105 JT,2013-01-29,538.9921,1605000
3105 JT,2013-01-30,551.8635,1003000
3105 JT,2013-01-31,559.1037,908000
3105 JT,2013-02-01,562.3216,1144000
3105 JT,2013-02-04,571.9752,1017000
3105 JT,2013-02-05,550.2546,873000
3105 JT,2013-02-06,574.3886,1055000
3105 JT,2013-02-07,567.9528,1757000
3105 JT,2013-02-08,547.8412,1978000
3105 JT,2013-02-12,543.0144,1454000
3105 JT,2013-02-13,540.601,986000
3105 JT,2013-02-14,541.4055,809000
3105 JT,2013-02-15,529.3385,879000
3105 JT,2013-02-18,546.2322,822000
3105 JT,2013-02-19,533.3608,1229000
3105 JT,2013-02-20,532.5563,839000
3105 JT,2013-02-21,523.7072,1193000
3105 JT,2013-02-22,518.8804,1234000
3105 JT,2013-02-25,554.2769,1727000
3105 JT,2013-02-26,528.534,1390000
3105 JT,2013-02-27,516.467,1084000
3105 JT,2013-02-28,533.3608,1181000
3105 JT,2013-03-01,526.9251,637000
3105 JT,2013-03-04,523.7072,915000
3105 JT,2013-03-05,527.7295,685000
3105 JT,2013-03-06,538.1876,713000
3105 JT,2013-03-07,533.3608,901000
3105 JT,2013-03-08,538.1876,3898000
3105 JT,2013-03-11,537.3831,946000
3105 JT,2013-03-12,537.3831,1445000
3105 JT,2013-03-13,538.9921,681000
3105 JT,2013-03-14,552.668,1335000
3105 JT,2013-03-15,560.7126,1318000
3105 JT,2013-03-18,538.9921,1005000
3105 JT,2013-03-19,546.2322,613000
3105 JT,2013-03-21,555.8858,650000
3105 JT,2013-03-22,545.4278,894000
3105 JT,2013-03-25,556.6903,788000
3105 JT,2013-03-26,552.668,682000
3105 JT,2013-03-27,547.4078,655000
3105 JT,2013-03-28,531.1401,1425000
3105 JT,2013-03-29,536.8338,568000
3105 JT,2013-04-01,528.6999,1145000
3105 JT,2013-04-02,510.8055,900000
3105 JT,2013-04-03,509.9921,832000
3105 JT,2013-04-04,513.2456,977000
3105 JT,2013-04-05,505.9252,1705000
3105 JT,2013-04-08,547.4078,1937000
3105 JT,2013-04-09,547.4078,968000
3105 JT,2013-04-10,544.1542,1188000
3105 JT,2013-04-11,556.355,1577000
3105 JT,2013-04-12,561.2353,3047000
3105 JT,2013-04-15,536.8338,1440000
3105 JT,2013-04-16,539.2739,1154000
3105 JT,2013-04-17,541.7141,681000
3105 JT,2013-04-18,521.3795,1675000
3105 JT,2013-04-19,527.0732,601000
3105 JT,2013-04-22,540.0873,881000
3105 JT,2013-04-23,536.8338,593000
3105 JT,2013-04-24,561.2353,1501000
3105 JT,2013-04-25,573.4361,1823000
3105 JT,2013-04-26,575.0629,1140000
3105 JT,2013-04-30,575.0629,977000
3105 JT,2013-05-01,588.8904,1207000
3105 JT,2013-05-02,566.929,1240000
3105 JT,2013-05-07,604.3447,1649000
3105 JT,2013-05-08,605.9715,966000
3105 JT,2013-05-09,589.7038,688000
3105 JT,2013-05-10,610.8518,1803000
3105 JT,2013-05-13,601.9045,1034000
3105 JT,2013-05-14,607.5982,825000
3105 JT,2013-05-15,618.9856,1182000
3105 JT,2013-05-16,640.1336,2220000
3105 JT,2013-05-17,640.947,1034000
3105 JT,2013-05-20,661.2816,934000
3105 JT,2013-05-21,686.4965,854000
3105 JT,2013-05-22,707.6445,1811000
3105 JT,2013-05-23,658.0281,2888000
3105 JT,2013-05-24,642.5738,2345000
3105 JT,2013-05-27,618.1722,1086000
3105 JT,2013-05-28,623.8659,1310000
3105 JT,2013-05-29,627.9328,1207000
3105 JT,2013-05-30,590.5172,1316000
3105 JT,2013-05-31,608.4116,920000
3105 JT,2013-06-03,570.1825,1227000
3105 JT,2013-06-04,592.1439,1113000
3105 JT,2013-06-05,559.6085,1057000
3105 JT,2013-06-06,563.6755,1076000
3105 JT,2013-06-07,561.2353,1228000
3105 JT,2013-06-10,588.8904,948000
3105 JT,2013-06-11,570.1825,830000
3105 JT,2013-06-12,579.1298,544000
3105 JT,2013-06-13,536.0204,1209000
3105 JT,2013-06-14,544.9676,3287000
3105 JT,2013-06-17,562.8621,757000
3105 JT,2013-06-18,554.7282,559000
3105 JT,2013-06-19,566.1156,656000
3105 JT,2013-06-20,553.1015,983000
3105 JT,2013-06-21,562.8621,1794000
3105 JT,2013-06-24,553.9149,540000
3105 JT,2013-06-25,541.7141,927000
3105 JT,2013-06-26,540.9007,618000
3105 JT,2013-06-27,546.5944,683000
3105 JT,2013-06-28,575.0629,795000
3105 JT,2013-07-01,595.3975,790000
3105 JT,2013-07-02,607.5982,613000
3105 JT,2013-07-03,605.1581,551000
3105 JT,2013-07-04,611.6652,420000
3105 JT,2013-07-05,630.373,616000
3105 JT,2013-07-08,622.2392,520000
3105 JT,2013-07-09,641.7604,778000
3105 JT,2013-07-10,629.5596,570000
3105 JT,2013-07-11,623.8659,788000
3105 JT,2013-07-12,638.5068,1552000
3105 JT,2013-07-16,653.9612,672000
3105 JT,2013-07-17,653.9612,530000
3105 JT,2013-07-18,670.2288,907000
3105 JT,2013-07-19,657.2147,834000
3105 JT,2013-07-22,662.9084,836000
3105 JT,2013-07-23,666.1619,526000
3105 JT,2013-07-24,656.4013,384000
3105 JT,2013-07-25,660.4682,370000
3105 JT,2013-07-26,644.2005,468000
3105 JT,2013-07-29,611.6652,674000
3105 JT,2013-07-30,625.4927,508000
3105 JT,2013-07-31,614.9187,634000
3105 JT,2013-08-01,629.5596,473000
3105 JT,2013-08-02,657.2147,548000
3105 JT,2013-08-05,643.3872,440000
3105 JT,2013-08-06,653.1478,460000
