ticker,date,last,volume
9984 JT,2013-01-04,1482.3931,12023000
9984 JT,2013-01-07,1453.9312,13892400
9984 JT,2013-01-08,1472.9058,10749800
9984 JT,2013-01-09,1442.072,11551600
9984 JT,2013-01-10,1442.072,8860200
9984 JT,2013-01-11,1432.5847,13647400
9984 JT,2013-01-15,1439.7002,11695600
9984 JT,2013-01-16,1392.738,18513800
9984 JT,2013-01-17,1421.6743,22221200
9984 JT,2013-01-18,1432.5847,14013600
9984 JT,2013-01-21,1407.9177,13314200
9984 JT,2013-01-22,1404.5972,15551400
9984 JT,2013-01-23,1397.0073,11523800
9984 JT,2013-01-24,1400.8022,14797200
9984 JT,2013-01-25,1434.9566,12510400
9984 JT,2013-01-28,1442.072,9290600
9984 JT,2013-01-29,1453.9312,10188200
9984 JT,2013-01-30,1506.1114,24645800
9984 JT,2013-01-31,1546.4325,22994800
9984 JT,2013-02-01,1634.1902,46182000
9984 JT,2013-02-04,1638.9339,17607200
9984 JT,2013-02-05,1603.3564,14262400
9984 JT,2013-02-06,1667.3958,25468400
9984 JT,2013-02-07,1643.6775,13407400
9984 JT,2013-02-08,1605.7283,15250200
9984 JT,2013-02-12,1681.6268,25939200
9984 JT,2013-02-13,1646.0493,13830600
9984 JT,2013-02-14,1641.3057,11530600
9984 JT,2013-02-15,1624.7029,10318600
9984 JT,2013-02-18,1636.562,8814000
9984 JT,2013-02-19,1617.5874,7320800
9984 JT,2013-02-20,1610.4719,6738200
9984 JT,2013-02-21,1570.1508,8900400
9984 JT,2013-02-22,1586.7536,14566200
9984 JT,2013-02-25,1648.4212,13949600
9984 JT,2013-02-26,1622.3311,14239800
9984 JT,2013-02-27,1579.6381,8615400
9984 JT,2013-02-28,1629.4465,12255200
9984 JT,2013-03-01,1608.1001,6081000
9984 JT,2013-03-04,1657.9085,15046600
9984 JT,2013-03-05,1660.2803,11364600
9984 JT,2013-03-06,1774.1281,29723200
9984 JT,2013-03-07,1736.1788,35463200
9984 JT,2013-03-08,1790.7309,42955200
9984 JT,2013-03-11,1776.4999,19165400
9984 JT,2013-03-12,1800.2182,16697200
9984 JT,2013-03-13,1793.1027,15486600
9984 JT,2013-03-14,1793.1027,8183400
9984 JT,2013-03-15,1797.8464,8366200
9984 JT,2013-03-18,1721.9479,14450800
9984 JT,2013-03-19,1738.5507,8677600
9984 JT,2013-03-21,1826.3084,23814800
