ticker,date,last,volume
1803 JT,2013-01-04,278.1162,3940000
1803 JT,2013-01-07,278.1162,5511000
1803 JT,2013-01-08,277.2709,5139000
1803 JT,2013-01-09,278.9616,7800000
1803 JT,2013-01-10,284.8789,5293000
1803 JT,2013-01-11,285.7243,6544000
1803 JT,2013-01-15,280.6523,8780000
1803 JT,2013-01-16,269.6629,9175000
1803 JT,2013-01-17,263.7455,7961000
1803 JT,2013-01-18,263.7455,6302000
1803 JT,2013-01-21,262.9002,4720000
1803 JT,2013-01-22,263.7455,6099000
1803 JT,2013-01-23,255.2921,4337000
1803 JT,2013-01-24,259.5188,5442000
1803 JT,2013-01-25,259.5188,2812000
1803 JT,2013-01-28,256.1374,5420000
1803 JT,2013-01-29,249.3747,16078000
1803 JT,2013-01-30,254.4468,8240000
1803 JT,2013-01-31,250.2201,9106000
1803 JT,2013-02-01,252.7561,7493000
1803 JT,2013-02-04,251.9108,6040000
1803 JT,2013-02-05,249.3747,5249000
1803 JT,2013-02-06,254.4468,6750000
1803 JT,2013-02-07,265.4362,22044000
1803 JT,2013-02-08,256.9828,10362000
1803 JT,2013-02-12,256.9828,5865000
1803 JT,2013-02-13,251.0654,6998000
1803 JT,2013-02-14,245.9934,7179000
1803 JT,2013-02-15,238.3853,9839000
1803 JT,2013-02-18,239.2307,7966000
1803 JT,2013-02-19,241.7667,8682000
1803 JT,2013-02-20,243.4574,5777000
1803 JT,2013-02-21,243.4574,4018000
1803 JT,2013-02-22,250.2201,8242000
1803 JT,2013-02-25,250.2201,3926000
1803 JT,2013-02-26,248.5294,3538000
1803 JT,2013-02-27,254.4468,5197000
1803 JT,2013-02-28,251.9108,6566000
1803 JT,2013-03-01,250.2201,4499000
1803 JT,2013-03-04,251.9108,4263000
1803 JT,2013-03-05,261.2095,13816000
1803 JT,2013-03-06,262.0548,5567000
1803 JT,2013-03-07,262.0548,5903000
1803 JT,2013-03-08,263.7455,9143000
1803 JT,2013-03-11,267.9722,6047000
1803 JT,2013-03-12,264.5908,6535000
1803 JT,2013-03-13,262.0548,6512000
1803 JT,2013-03-14,265.4362,4259000
1803 JT,2013-03-15,267.9722,3719000
1803 JT,2013-03-18,261.2095,4371000
1803 JT,2013-03-19,261.2095,2076000
1803 JT,2013-03-21,263.7455,3367000
1803 JT,2013-03-22,263.7455,3091000
1803 JT,2013-03-25,262.9002,3834000
1803 JT,2013-03-26,262.0548,3499000
1803 JT,2013-03-27,263.3372,2444000
1803 JT,2013-03-28,263.3372,3108000
1803 JT,2013-03-29,261.6272,2526000
1803 JT,2013-04-01,260.7722,2925000
1803 JT,2013-04-02,253.0773,4464000
1803 JT,2013-04-03,258.2073,3862000
1803 JT,2013-04-04,262.4822,4684000
1803 JT,2013-04-05,263.3372,7052000
1803 JT,2013-04-08,273.5971,6745000
1803 JT,2013-04-09,281.292,9644000
1803 JT,2013-04-10,292.4069,9169000
1803 JT,2013-04-11,289.8419,6332000
1803 JT,2013-04-12,291.5519,4446000
1803 JT,2013-04-15,293.2619,4471000
1803 JT,2013-04-16,291.5519,5349000
1803 JT,2013-04-17,292.4069,3738000
1803 JT,2013-04-18,292.4069,2514000
1803 JT,2013-04-19,294.1169,4020000
1803 JT,2013-04-22,322.3316,20834000
1803 JT,2013-04-23,337.7214,18600000
1803 JT,2013-04-24,331.7365,8246000
1803 JT,2013-04-25,333.4465,4649000
1803 JT,2013-04-26,333.4465,5644000
1803 JT,2013-04-30,335.1565,2930000
1803 JT,2013-05-01,339.4314,4833000
1803 JT,2013-05-02,328.3165,4211000
1803 JT,2013-05-07,333.4465,3484000
1803 JT,2013-05-08,338.5764,5010000
1803 JT,2013-05-09,335.1565,3566000
1803 JT,2013-05-10,336.0114,3989000
1803 JT,2013-05-13,344.5614,4351000
1803 JT,2013-05-14,355.6762,13019000
1803 JT,2013-05-15,341.9964,6930000
1803 JT,2013-05-16,333.4465,7055000
1803 JT,2013-05-17,351.4013,7313000
1803 JT,2013-05-20,363.3712,7038000
1803 JT,2013-05-21,358.2412,4691000
1803 JT,2013-05-22,363.3712,4192000
1803 JT,2013-05-23,336.0114,7337000
1803 JT,2013-05-24,337.7214,5649000
1803 JT,2013-05-27,321.4766,4051000
1803 JT,2013-05-28,312.9267,5322000
1803 JT,2013-05-29,312.9267,4773000
1803 JT,2013-05-30,300.9568,5490000
1803 JT,2013-05-31,307.7967,5720000
1803 JT,2013-06-03,302.6668,5491000
1803 JT,2013-06-04,305.2318,7040000
1803 JT,2013-06-05,294.1169,11561000
1803 JT,2013-06-06,282.147,7258000
1803 JT,2013-06-07,284.712,6815000
1803 JT,2013-06-10,297.5369,2498000
1803 JT,2013-06-11,317.2016,10473000
1803 JT,2013-06-12,315.4917,5516000
1803 JT,2013-06-13,300.1018,4589000
1803 JT,2013-06-14,304.3768,7461000
1803 JT,2013-06-17,316.3467,3485000
1803 JT,2013-06-18,318.9116,3660000
1803 JT,2013-06-19,323.1866,3350000
1803 JT,2013-06-20,320.6216,3283000
1803 JT,2013-06-21,324.8966,3690000
1803 JT,2013-06-24,330.8815,3861000
1803 JT,2013-06-25,330.8815,4778000
1803 JT,2013-06-26,323.1866,3068000
1803 JT,2013-06-27,330.8815,4626000
1803 JT,2013-06-28,341.1414,4258000
1803 JT,2013-07-01,358.2412,6553000
1803 JT,2013-07-02,364.2261,5085000
1803 JT,2013-07-03,362.5162,3464000
1803 JT,2013-07-04,359.9512,4019000
1803 JT,2013-07-05,365.0811,4318000
1803 JT,2013-07-08,354.8212,9079000
1803 JT,2013-07-09,372.7761,4333000
1803 JT,2013-07-10,372.7761,3830000
1803 JT,2013-07-11,377.051,3593000
1803 JT,2013-07-12,380.471,5188000
1803 JT,2013-07-16,378.761,3931000
1803 JT,2013-07-17,376.196,3159000
1803 JT,2013-07-18,383.8909,4018000
1803 JT,2013-07-19,380.471,4634000
1803 JT,2013-07-22,383.8909,5700000
1803 JT,2013-07-23,386.4559,3736000
1803 JT,2013-07-24,378.761,3949000
1803 JT,2013-07-25,365.0811,7613000
1803 JT,2013-07-26,355.6762,6880000
1803 JT,2013-07-29,344.5614,4172000
1803 JT,2013-07-30,352.2563,4765000
1803 JT,2013-07-31,348.8363,4305000
1803 JT,2013-08-01,359.0962,3093000
1803 JT,2013-08-02,367.6461,3573000
1803 JT,2013-08-05,363.3712,2506000
1803 JT,2013-08-06,368.5011,4133000
1803 JT,2013-08-07,355.6762,3620000
1803 JT,2013-08-08,368.5011,11545000
1803 JT,2013-08-09,368.5011,5449000
1803 JT,2013-08-12,365.9361,3156000
1803 JT,2013-08-13,376.196,3620000
1803 JT,2013-08-14,385.6009,5063000
1803 JT,2013-08-15,377.906,3357000
1803 JT,2013-08-16,373.631,3016000
1803 JT,2013-08-19,383.8909,2975000
1803 JT,2013-08-20,378.761,3087000
1803 JT,2013-08-21,374.486,5827000
1803 JT,2013-08-22,379.616,3932000
1803 JT,2013-08-23,384.7459,7264000
1803 JT,2013-08-26,390.7309,4605000
1803 JT,2013-08-27,386.4559,2951000
1803 JT,2013-08-28,378.761,4272000
1803 JT,2013-08-29,377.051,2741000
1803 JT,2013-08-30,369.3561,4545000
1803 JT,2013-09-02,385.6009,5222000
1803 JT,2013-09-03,386.4559,5647000
1803 JT,2013-09-04,383.0359,4765000
1803 JT,2013-09-05,386.4559,5656000
1803 JT,2013-09-06,380.471,8196000
1803 JT,2013-09-09,412.9606,22311000
1803 JT,2013-09-10,436.0454,26493000
1803 JT,2013-09-11,421.5105,14729000
1803 JT,2013-09-12,419.8006,9305000
1803 JT,2013-09-13,418.9456,6672000
1803 JT,2013-09-17,416.3806,4147000
1803 JT,2013-09-18,416.3806,5512000
1803 JT,2013-09-19,423.2205,5391000
1803 JT,2013-09-20,424.9305,5282000
1803 JT,2013-09-24,424.0755,3901000
1803 JT,2013-09-25,415.5256,5331000
1803 JT,2013-09-26,418.5399,8749000
1803 JT,2013-09-27,411.6504,5689000
1803 JT,2013-09-30,412.5116,4462000
1803 JT,2013-10-01,408.2056,4821000
1803 JT,2013-10-02,402.1773,6903000
1803 JT,2013-10-03,403.0385,3867000
1803 JT,2013-10-04,397.0101,4374000
1803 JT,2013-10-07,384.9534,3727000
1803 JT,2013-10-08,390.1206,4154000
1803 JT,2013-10-09,401.3161,5277000
1803 JT,2013-10-10,402.1773,3338000
1803 JT,2013-10-11,411.6504,5192000
1803 JT,2013-10-15,418.5399,6540000
1803 JT,2013-10-16,418.5399,3763000
1803 JT,2013-10-17,419.4011,4364000
1803 JT,2013-10-18,418.5399,3847000
1803 JT,2013-10-21,417.6787,5913000
1803 JT,2013-10-22,420.2623,3390000
1803 JT,2013-10-23,419.4011,7305000
1803 JT,2013-10-24,433.1802,7513000
1803 JT,2013-10-25,425.4295,4353000
1803 JT,2013-10-28,433.1802,4831000
1803 JT,2013-10-29,428.0131,4186000
1803 JT,2013-10-30,438.3474,7838000
1803 JT,2013-10-31,432.319,4349000
1803 JT,2013-11-01,429.7354,4178000
1803 JT,2013-11-05,433.1802,3500000
1803 JT,2013-11-06,428.0131,4295000
1803 JT,2013-11-07,423.7071,4071000
1803 JT,2013-11-08,423.7071,3096000
1803 JT,2013-11-11,425.4295,3622000
1803 JT,2013-11-12,423.7071,16483000
1803 JT,2013-11-13,415.9563,8608000
1803 JT,2013-11-14,423.7071,6928000
1803 JT,2013-11-15,424.5683,6111000
1803 JT,2013-11-18,422.8459,5984000
1803 JT,2013-11-19,429.7354,4631000
1803 JT,2013-11-20,425.4295,3366000
1803 JT,2013-11-21,428.8742,4329000
1803 JT,2013-11-22,427.1519,4591000
1803 JT,2013-11-25,426.2907,3559000
1803 JT,2013-11-26,423.7071,3900000
1803 JT,2013-11-27,415.0952,3964000
1803 JT,2013-11-28,417.6787,2482000
1803 JT,2013-11-29,412.5116,5119000
1803 JT,2013-12-02,412.5116,4326000
1803 JT,2013-12-03,413.3728,2789000
1803 JT,2013-12-04,404.7608,3718000
1803 JT,2013-12-05,403.0385,3650000
1803 JT,2013-12-06,401.3161,3685000
1803 JT,2013-12-09,402.1773,3837000
1803 JT,2013-12-10,409.928,7454000
1803 JT,2013-12-11,414.234,4941000
1803 JT,2013-12-12,415.9563,4693000
1803 JT,2013-12-13,416.8175,12327000
1803 JT,2013-12-16,417.6787,4634000
1803 JT,2013-12-17,421.9847,3933000
1803 JT,2013-12-18,431.4578,6745000
1803 JT,2013-12-19,434.9026,5029000
1803 JT,2013-12-20,434.9026,5569000
1803 JT,2013-12-24,433.1802,4096000
1803 JT,2013-12-25,434.9026,5441000
1803 JT,2013-12-26,448.6817,7093000
1803 JT,2013-12-27,452.1265,3524000
1803 JT,2013-12-30,457.2936,4198000
1803 JT,2014-01-06,450.4041,5038000
1803 JT,2014-01-07,447.8205,5937000
1803 JT,2014-01-08,477.9623,9761000
1803 JT,2014-01-09,471.9339,5954000
1803 JT,2014-01-10,481.407,5865000
1803 JT,2014-01-14,464.1832,6151000
1803 JT,2014-01-15,473.6563,3651000
1803 JT,2014-01-16,474.5175,2596000
1803 JT,2014-01-17,472.7951,3323000
1803 JT,2014-01-20,468.4891,2467000
1803 JT,2014-01-21,466.7668,3910000
1803 JT,2014-01-22,472.7951,4492000
1803 JT,2014-01-23,471.9339,4075000
1803 JT,2014-01-24,470.2115,5394000
1803 JT,2014-01-27,471.0727,7071000
1803 JT,2014-01-28,464.1832,3606000
1803 JT,2014-01-29,488.2966,6928000
1803 JT,2014-01-30,471.9339,7797000
1803 JT,2014-01-31,480.5458,6395000
1803 JT,2014-02-03,466.7668,4904000
1803 JT,2014-02-04,424.5683,9870000
1803 JT,2014-02-05,435.7638,5484000
1803 JT,2014-02-06,441.7921,4654000
1803 JT,2014-02-07,437.4862,5001000
1803 JT,2014-02-10,449.5429,4363000
1803 JT,2014-02-12,440.931,11501000
1803 JT,2014-02-13,446.9593,7355000
1803 JT,2014-02-14,437.4862,4696000
1803 JT,2014-02-17,438.3474,2965000
1803 JT,2014-02-18,449.5429,4522000
1803 JT,2014-02-19,452.9877,4956000
1803 JT,2014-02-20,447.8205,3548000
1803 JT,2014-02-21,464.1832,3996000
1803 JT,2014-02-24,467.6279,7179000
1803 JT,2014-02-25,479.6847,5158000
1803 JT,2014-02-26,475.3787,3309000
1803 JT,2014-02-27,475.3787,2889000
1803 JT,2014-02-28,472.7951,2731000
1803 JT,2014-03-03,460.7384,4699000
1803 JT,2014-03-04,460.7384,3054000
1803 JT,2014-03-05,465.9056,2020000
1803 JT,2014-03-06,468.4891,3058000
1803 JT,2014-03-07,472.7951,2589000
1803 JT,2014-03-10,486.5742,7256000
1803 JT,2014-03-11,488.2966,5146000
1803 JT,2014-03-12,472.7951,4829000
1803 JT,2014-03-13,472.7951,2750000
1803 JT,2014-03-14,450.4041,8495000
1803 JT,2014-03-17,440.931,4063000
1803 JT,2014-03-18,457.2936,4158000
1803 JT,2014-03-19,455.5712,3407000
1803 JT,2014-03-20,440.931,3735000
1803 JT,2014-03-24,439.2086,6111000
1803 JT,2014-03-25,440.0698,3453000
