ticker,date,last,volume
5333 JT,2013-01-04,902.1428,2015000
5333 JT,2013-01-07,905.5567,1627000
5333 JT,2013-01-08,880.8054,1353000
5333 JT,2013-01-09,896.1683,1096000
5333 JT,2013-01-10,906.4102,680000
5333 JT,2013-01-11,911.5312,1441000
5333 JT,2013-01-15,920.0661,1064000
5333 JT,2013-01-16,897.8753,1021000
5333 JT,2013-01-17,898.7288,1899000
5333 JT,2013-01-18,932.8685,1608000
5333 JT,2013-01-21,928.6011,1062000
5333 JT,2013-01-22,910.6777,1750000
5333 JT,2013-01-23,881.6589,1303000
5333 JT,2013-01-24,896.1683,937000
5333 JT,2013-01-25,912.3847,1256000
5333 JT,2013-01-28,883.3659,1600000
5333 JT,2013-01-29,889.3404,1555000
5333 JT,2013-01-30,900.4358,1472000
5333 JT,2013-01-31,908.9707,1382000
5333 JT,2013-02-01,845.8122,4018000
5333 JT,2013-02-04,827.8888,3661000
5333 JT,2013-02-05,816.7934,2018000
5333 JT,2013-02-06,833.0098,2952000
5333 JT,2013-02-07,820.2074,2430000
5333 JT,2013-02-08,800.577,2850000
5333 JT,2013-02-12,812.5259,1664000
5333 JT,2013-02-13,805.698,1440000
5333 JT,2013-02-14,827.8888,1960000
5333 JT,2013-02-15,812.5259,1661000
5333 JT,2013-02-18,830.4493,1168000
5333 JT,2013-02-19,821.0609,1280000
5333 JT,2013-02-20,823.6213,1705000
5333 JT,2013-02-21,822.7679,1405000
5333 JT,2013-02-22,827.0353,1866000
5333 JT,2013-02-25,859.4681,2266000
5333 JT,2013-02-26,844.9587,1684000
5333 JT,2013-02-27,827.8888,1474000
5333 JT,2013-02-28,853.4936,2485000
5333 JT,2013-03-01,868.003,1659000
5333 JT,2013-03-04,890.1939,2762000
5333 JT,2013-03-05,893.6078,2066000
5333 JT,2013-03-06,916.6522,1832000
5333 JT,2013-03-07,892.7543,2141000
5333 JT,2013-03-08,905.5567,5224000
5333 JT,2013-03-11,914.0917,1569000
5333 JT,2013-03-12,902.1428,1827000
5333 JT,2013-03-13,893.6078,1242000
5333 JT,2013-03-14,882.5124,1578000
5333 JT,2013-03-15,881.6589,2042000
5333 JT,2013-03-18,855.2006,1589000
5333 JT,2013-03-19,883.3659,1463000
5333 JT,2013-03-21,897.0218,1559000
5333 JT,2013-03-22,891.9008,1894000
5333 JT,2013-03-25,899.5823,1378000
5333 JT,2013-03-26,868.003,2046000
5333 JT,2013-03-27,879.2088,1223000
5333 JT,2013-03-28,861.1074,1869000
5333 JT,2013-03-29,873.175,1588000
5333 JT,2013-04-01,864.5553,1430000
5333 JT,2013-04-02,840.4201,1694000
5333 JT,2013-04-03,843.868,1407000
5333 JT,2013-04-04,845.592,2793000
5333 JT,2013-04-05,862.8313,2711000
5333 JT,2013-04-08,890.4144,2330000
5333 JT,2013-04-09,898.1721,1630000
5333 JT,2013-04-10,912.8256,1855000
5333 JT,2013-04-11,921.4453,2029000
5333 JT,2013-04-12,925.7551,2968000
5333 JT,2013-04-15,910.2397,1159000
5333 JT,2013-04-16,901.62,1436000
5333 JT,2013-04-17,899.896,950000
5333 JT,2013-04-18,893.8622,1659000
5333 JT,2013-04-19,924.8931,1623000
5333 JT,2013-04-22,972.3015,3460000
5333 JT,2013-04-23,971.4395,2021000
5333 JT,2013-04-24,996.4366,1751000
5333 JT,2013-04-25,1020.5717,2049000
