ticker,date,last,volume
8354 JT,2013-01-04,1380.5087,754400
8354 JT,2013-01-07,1349.2223,571400
8354 JT,2013-01-08,1337.49,707600
8354 JT,2013-01-09,1364.8655,665800
8354 JT,2013-01-10,1388.3302,806800
8354 JT,2013-01-11,1407.8842,666600
8354 JT,2013-01-15,1419.6166,391200
8354 JT,2013-01-16,1396.1518,785200
8354 JT,2013-01-17,1396.1518,746400
8354 JT,2013-01-18,1423.5273,780000
8354 JT,2013-01-21,1427.4381,841800
8354 JT,2013-01-22,1423.5273,1688400
8354 JT,2013-01-23,1446.9921,1439800
8354 JT,2013-01-24,1454.8137,1371000
8354 JT,2013-01-25,1521.2971,1366200
8354 JT,2013-01-28,1521.2971,1042200
8354 JT,2013-01-29,1505.6539,1460200
8354 JT,2013-01-30,1509.5647,1026000
8354 JT,2013-01-31,1505.6539,1108200
8354 JT,2013-02-01,1497.8323,713400
8354 JT,2013-02-04,1501.7431,819200
8354 JT,2013-02-05,1478.2784,911600
8354 JT,2013-02-06,1513.4755,1248200
8354 JT,2013-02-07,1548.6726,1467200
8354 JT,2013-02-08,1568.2266,1643200
8354 JT,2013-02-12,1607.3344,1305600
8354 JT,2013-02-13,1591.6913,1077600
8354 JT,2013-02-14,1572.1373,1309600
8354 JT,2013-02-15,1544.7618,1118400
8354 JT,2013-02-18,1611.2452,1298800
8354 JT,2013-02-19,1619.0668,879600
8354 JT,2013-02-20,1622.9776,1327000
8354 JT,2013-02-21,1603.4237,806200
8354 JT,2013-02-22,1603.4237,1187600
8354 JT,2013-02-25,1662.0855,1383000
8354 JT,2013-02-26,1626.8884,1019800
8354 JT,2013-02-27,1599.5129,727000
8354 JT,2013-02-28,1646.4423,941400
8354 JT,2013-03-01,1650.3531,717400
8354 JT,2013-03-04,1658.1747,1007800
8354 JT,2013-03-05,1681.6394,1577600
8354 JT,2013-03-06,1724.6581,1470600
8354 JT,2013-03-07,1681.6394,1136400
8354 JT,2013-03-08,1701.1934,1742200
8354 JT,2013-03-11,1775.4984,1345000
8354 JT,2013-03-12,1740.3013,1310000
8354 JT,2013-03-13,1724.6581,895400
8354 JT,2013-03-14,1748.1229,944000
8354 JT,2013-03-15,1775.4984,1190800
8354 JT,2013-03-18,1779.4092,1113400
8354 JT,2013-03-19,1802.8739,931200
8354 JT,2013-03-21,1841.9818,952600
8354 JT,2013-03-22,1818.5171,1293600
8354 JT,2013-03-25,1841.9818,1090200
8354 JT,2013-03-26,1826.3387,923400
8354 JT,2013-03-27,1834.2621,533800
8354 JT,2013-03-28,1861.9939,1173600
8354 JT,2013-03-29,1913.4959,1468000
8354 JT,2013-04-01,1814.4537,1195000
8354 JT,2013-04-02,1826.3387,1210800
8354 JT,2013-04-03,1842.1855,945000
8354 JT,2013-04-04,1913.4959,1367400
8354 JT,2013-04-05,1996.6914,2147800
8354 JT,2013-04-08,2071.9635,1177000
8354 JT,2013-04-09,2044.2316,1064000
8354 JT,2013-04-10,2056.1167,1632800
8354 JT,2013-04-11,2052.155,1420400
8354 JT,2013-04-12,1996.6914,1691600
8354 JT,2013-04-15,1976.8829,1500200
8354 JT,2013-04-16,1905.5725,1648800
8354 JT,2013-04-17,1968.9595,1142400
8354 JT,2013-04-18,1949.1511,935000
8354 JT,2013-04-19,1941.2277,915200
8354 JT,2013-04-22,1972.9212,1030000
8354 JT,2013-04-23,1937.266,736200
8354 JT,2013-04-24,1949.1511,864400
8354 JT,2013-04-25,1976.8829,943600
8354 JT,2013-04-26,1941.2277,940200
8354 JT,2013-04-30,1972.9212,1060800
8354 JT,2013-05-01,1953.1128,767800
8354 JT,2013-05-02,1961.0362,635800
8354 JT,2013-05-07,2016.4998,898400
