ticker,date,last,volume
8801 JT,2013-01-04,1901.3929,8239000
8801 JT,2013-01-07,1904.9889,4308000
8801 JT,2013-01-08,1834.8666,5164000
8801 JT,2013-01-09,1885.2108,5748000
8801 JT,2013-01-10,1858.2407,6970000
8801 JT,2013-01-11,1858.2407,6580000
8801 JT,2013-01-15,1898.6959,5316000
8801 JT,2013-01-16,1815.0885,6263000
8801 JT,2013-01-17,1762.9463,8819000
8801 JT,2013-01-18,1793.5125,9253000
8801 JT,2013-01-21,1780.9264,4605000
8801 JT,2013-01-22,1802.5025,6217000
8801 JT,2013-01-23,1790.8154,7178000
8801 JT,2013-01-24,1833.9676,5962000
8801 JT,2013-01-25,1862.7357,6024000
8801 JT,2013-01-28,1835.7656,6084000
8801 JT,2013-01-29,1823.1796,5156000
8801 JT,2013-01-30,1884.3118,6606000
8801 JT,2013-01-31,1878.0188,5711000
8801 JT,2013-02-01,1878.9178,4837000
8801 JT,2013-02-04,1881.6148,4079000
8801 JT,2013-02-05,1761.1483,7399000
8801 JT,2013-02-06,1828.5736,6189000
8801 JT,2013-02-07,1883.4128,7358000
8801 JT,2013-02-08,1893.3019,7328000
8801 JT,2013-02-12,1910.3829,6619000
8801 JT,2013-02-13,1887.0088,3674000
8801 JT,2013-02-14,1869.0288,4595000
8801 JT,2013-02-15,1835.7656,5053000
8801 JT,2013-02-18,1905.8879,4395000
8801 JT,2013-02-19,1908.5849,3589000
8801 JT,2013-02-20,1914.878,5048000
8801 JT,2013-02-21,1874.4228,4264000
8801 JT,2013-02-22,1889.7059,5212000
8801 JT,2013-02-25,2020.0614,10049000
8801 JT,2013-02-26,2034.4455,9100000
8801 JT,2013-02-27,2012.8694,5524000
8801 JT,2013-02-28,2119.8508,9297000
8801 JT,2013-03-01,2188.1751,10836000
8801 JT,2013-03-04,2240.3173,8480000
8801 JT,2013-03-05,2192.6701,8611000
8801 JT,2013-03-06,2222.3372,6633000
8801 JT,2013-03-07,2210.6502,4983000
8801 JT,2013-03-08,2310.4396,13448000
8801 JT,2013-03-11,2368.8749,10080000
8801 JT,2013-03-12,2386.8549,8477000
8801 JT,2013-03-13,2367.0768,6061000
8801 JT,2013-03-14,2492.9374,8561000
8801 JT,2013-03-15,2449.7852,11764000
8801 JT,2013-03-18,2385.0569,7621000
8801 JT,2013-03-19,2377.8649,6610000
8801 JT,2013-03-21,2341.9047,8915000
8801 JT,2013-03-22,2333.8137,9035000
8801 JT,2013-03-25,2370.6729,6190000
8801 JT,2013-03-26,2365.2788,5382000
8801 JT,2013-03-27,2459.168,6323000
8801 JT,2013-03-28,2412.2235,5686000
8801 JT,2013-03-29,2382.4318,5088000
8801 JT,2013-04-01,2323.7512,4626000
8801 JT,2013-04-02,2424.8624,8112000
8801 JT,2013-04-03,2453.7513,7653000
8801 JT,2013-04-04,2645.1403,12725000
8801 JT,2013-04-05,2988.196,22323000
8801 JT,2013-04-08,3168.7517,15163000
8801 JT,2013-04-09,3037.8488,11841000
