ticker,date,last,volume
9531 JT,2013-01-04,1727.7597,2685000
9531 JT,2013-01-07,1744.782,2401200
9531 JT,2013-01-08,1761.8042,2478000
9531 JT,2013-01-09,1766.0598,2897200
9531 JT,2013-01-10,1757.5487,3939400
9531 JT,2013-01-11,1757.5487,2201800
9531 JT,2013-01-15,1800.1043,1841000
9531 JT,2013-01-16,1821.3821,2932000
9531 JT,2013-01-17,1846.9155,2927000
9531 JT,2013-01-18,1846.9155,1948800
9531 JT,2013-01-21,1842.66,1973800
9531 JT,2013-01-22,1829.8933,2316600
9531 JT,2013-01-23,1834.1488,1983600
9531 JT,2013-01-24,1825.6377,1855800
9531 JT,2013-01-25,1846.9155,1812200
9531 JT,2013-01-28,1851.1711,1662600
9531 JT,2013-01-29,1851.1711,1770000
9531 JT,2013-01-30,1829.8933,1848600
9531 JT,2013-01-31,1834.1488,2483200
9531 JT,2013-02-01,1838.4044,1319400
9531 JT,2013-02-04,1817.1266,1344200
9531 JT,2013-02-05,1800.1043,1528400
9531 JT,2013-02-06,1863.9378,2274200
9531 JT,2013-02-07,1851.1711,2476400
9531 JT,2013-02-08,1846.9155,1853200
9531 JT,2013-02-12,1872.4489,1767400
9531 JT,2013-02-13,1846.9155,1558800
9531 JT,2013-02-14,1834.1488,1096600
9531 JT,2013-02-15,1846.9155,2451200
9531 JT,2013-02-18,1897.9823,2641000
9531 JT,2013-02-19,1880.9601,1029200
9531 JT,2013-02-20,1944.7935,2514200
9531 JT,2013-02-21,1906.4935,2103800
9531 JT,2013-02-22,1910.749,1813600
9531 JT,2013-02-25,1927.7713,1579000
9531 JT,2013-02-26,1902.2379,1881000
9531 JT,2013-02-27,1880.9601,1337600
9531 JT,2013-02-28,1906.4935,1456800
9531 JT,2013-03-01,1983.0936,4467800
9531 JT,2013-03-04,2038.416,3707800
9531 JT,2013-03-05,2017.1382,2132200
9531 JT,2013-03-06,2046.9271,2727600
9531 JT,2013-03-07,2076.7161,2355600
9531 JT,2013-03-08,2055.4383,4077600
9531 JT,2013-03-11,2068.205,2176800
9531 JT,2013-03-12,2068.205,1570600
9531 JT,2013-03-13,2059.6938,1607000
9531 JT,2013-03-14,2089.4828,1574200
9531 JT,2013-03-15,2127.7829,2933400
9531 JT,2013-03-18,2076.7161,1756000
9531 JT,2013-03-19,2123.5273,2216400
9531 JT,2013-03-21,2132.0384,2424200
9531 JT,2013-03-22,2127.7829,2231000
9531 JT,2013-03-25,2132.0384,1407800
9531 JT,2013-03-26,2161.8274,2838400
9531 JT,2013-03-27,2168.2811,2024800
9531 JT,2013-03-28,2185.4897,1926200
9531 JT,2013-03-29,2211.3026,2233200
9531 JT,2013-04-01,2129.5618,2393600
9531 JT,2013-04-02,2120.9575,2594600
9531 JT,2013-04-03,2155.3747,2683600
9531 JT,2013-04-04,2224.209,3736600
9531 JT,2013-04-05,2219.9069,4626800
9531 JT,2013-04-08,2241.4176,2589400
9531 JT,2013-04-09,2207.0004,2903800
9531 JT,2013-04-10,2224.209,2837000
9531 JT,2013-04-11,2258.6262,2848800
9531 JT,2013-04-12,2271.5326,4286600
9531 JT,2013-04-15,2318.8562,3742000
9531 JT,2013-04-16,2336.0648,4838200
9531 JT,2013-04-17,2340.3669,2825400
9531 JT,2013-04-18,2327.4605,2142600
9531 JT,2013-04-19,2340.3669,2386200
