ticker,date,last,volume
9503 JT,2013-01-04,847.8471,11514100
9503 JT,2013-01-07,804.2336,8334600
9503 JT,2013-01-08,795.5109,6308100
9503 JT,2013-01-09,780.6823,7645400
9503 JT,2013-01-10,810.3395,17785700
9503 JT,2013-01-11,804.2336,8050000
9503 JT,2013-01-15,804.2336,6972000
9503 JT,2013-01-16,771.0873,7788100
9503 JT,2013-01-17,777.1932,6288200
9503 JT,2013-01-18,792.0218,8440100
9503 JT,2013-01-21,773.7041,6184900
9503 JT,2013-01-22,754.5142,7751500
9503 JT,2013-01-23,762.3646,10745800
9503 JT,2013-01-24,729.2183,8713000
9503 JT,2013-01-25,719.6233,9628900
9503 JT,2013-01-28,717.0065,5520900
9503 JT,2013-01-29,751.0251,8466700
9503 JT,2013-01-30,759.7478,6206500
9503 JT,2013-01-31,758.8755,6107100
9503 JT,2013-02-01,737.941,6762500
9503 JT,2013-02-04,730.9628,4485800
9503 JT,2013-02-05,710.0283,4417300
9503 JT,2013-02-06,715.262,5102100
9503 JT,2013-02-07,722.2401,6016200
9503 JT,2013-02-08,713.5174,4252400
9503 JT,2013-02-12,711.7729,3368500
9503 JT,2013-02-13,682.1157,5479500
9503 JT,2013-02-14,675.1375,5976400
9503 JT,2013-02-15,699.5611,7887000
9503 JT,2013-02-18,697.8166,5439000
9503 JT,2013-02-19,688.2216,3915400
9503 JT,2013-02-20,714.3897,9057500
9503 JT,2013-02-21,712.6452,8530000
9503 JT,2013-02-22,694.3275,6018700
9503 JT,2013-02-25,699.5611,4007400
9503 JT,2013-02-26,693.4552,4731100
9503 JT,2013-02-27,685.6048,6501600
9503 JT,2013-02-28,697.8166,5720600
9503 JT,2013-03-01,706.5393,5628100
9503 JT,2013-03-04,699.5611,4479400
9503 JT,2013-03-05,688.2216,5610100
9503 JT,2013-03-06,688.2216,3165800
9503 JT,2013-03-07,679.4989,4353800
9503 JT,2013-03-08,681.2434,7871100
9503 JT,2013-03-11,678.6266,3629700
9503 JT,2013-03-12,658.5644,4804500
9503 JT,2013-03-13,635.0131,6745200
9503 JT,2013-03-14,630.6517,3756500
9503 JT,2013-03-15,653.3308,5542800
9503 JT,2013-03-18,645.4803,3481200
9503 JT,2013-03-19,661.1812,6072300
9503 JT,2013-03-21,697.8166,11382800
9503 JT,2013-03-22,696.072,6333600
9503 JT,2013-03-25,699.5611,4585100
9503 JT,2013-03-26,722.2401,11553600
9503 JT,2013-03-27,764.1091,13686700
9503 JT,2013-03-28,777.1932,9578000
9503 JT,2013-03-29,809.4672,10455500
9503 JT,2013-04-01,791.1495,7353700
9503 JT,2013-04-02,754.5142,5950400
9503 JT,2013-04-03,776.3209,9068800
9503 JT,2013-04-04,773.7041,5721800
9503 JT,2013-04-05,769.3428,9227900
9503 JT,2013-04-08,795.5109,6175500
9503 JT,2013-04-09,792.0218,3600300
9503 JT,2013-04-10,841.7412,11646000
9503 JT,2013-04-11,900.1834,12941200
9503 JT,2013-04-12,1026.6626,29867500
9503 JT,2013-04-15,1194.1386,65851600
9503 JT,2013-04-16,1133.9519,40782300
9503 JT,2013-04-17,1085.977,23847700
9503 JT,2013-04-18,1029.2794,11798000
9503 JT,2013-04-19,1052.8307,19031000
9503 JT,2013-04-22,1060.6812,9726300
9503 JT,2013-04-23,1087.7216,8032400
9503 JT,2013-04-24,1078.9989,7482900
9503 JT,2013-04-25,1073.7652,4266200
9503 JT,2013-04-26,1052.8307,5375900
9503 JT,2013-04-30,1036.2576,6461900
9503 JT,2013-05-01,1076.382,6249500
9503 JT,2013-05-02,1068.5316,6878400
9503 JT,2013-05-07,1118.251,5431500
9503 JT,2013-05-08,1114.7619,5270800
9503 JT,2013-05-09,1099.0611,3550800
9503 JT,2013-05-10,1091.2106,4876000
9503 JT,2013-05-13,1092.9552,4772300
9503 JT,2013-05-14,1236.0076,42371100
9503 JT,2013-05-15,1167.0982,20228900
9503 JT,2013-05-16,1202.8613,11461900
9503 JT,2013-05-17,1174.0764,5932800
9503 JT,2013-05-20,1262.1757,15178100
9503 JT,2013-05-21,1238.6244,14053100
9503 JT,2013-05-22,1215.0731,5877400
9503 JT,2013-05-23,1093.8275,7364000
9503 JT,2013-05-24,1119.1233,6836300
9503 JT,2013-05-27,1050.2139,5375800
9503 JT,2013-05-28,1045.8526,8497300
9503 JT,2013-05-29,1168.8427,14544100
9503 JT,2013-05-30,1116.5065,8297300
9503 JT,2013-05-31,1050.2139,7540600
9503 JT,2013-06-03,1051.9585,9483600
9503 JT,2013-06-04,1087.7216,5842000
9503 JT,2013-06-05,987.4104,7980500
9503 JT,2013-06-06,961.2423,8789900
9503 JT,2013-06-07,969.0927,7305300
9503 JT,2013-06-10,1027.5349,7600800
9503 JT,2013-06-11,981.3045,5836300
9503 JT,2013-06-12,1030.1517,6494900
9503 JT,2013-06-13,1026.6626,9220200
9503 JT,2013-06-14,1091.2106,11209700
9503 JT,2013-06-17,1136.5687,9117100
9503 JT,2013-06-18,1207.2226,9265200
9503 JT,2013-06-19,1192.394,9297600
9503 JT,2013-06-20,1188.0327,5365200
9503 JT,2013-06-21,1200.2445,5318100
9503 JT,2013-06-24,1186.2881,3937500
9503 JT,2013-06-25,1169.715,5466100
9503 JT,2013-06-26,1167.9705,3585600
9503 JT,2013-06-27,1199.3722,3231400
9503 JT,2013-06-28,1185.4159,5246400
9503 JT,2013-07-01,1181.9268,4012900
9503 JT,2013-07-02,1229.0294,8229600
9503 JT,2013-07-03,1199.3722,3918300
9503 JT,2013-07-04,1218.5622,3935000
